QuestContent04,,"이미 보상을 받고 완료된 퀘스트들은 목록에서 사라지지만, 퀘스트 화면 왼쪽의 [완료 퀘스트] 탭을 클릭하면 언제든지 내가 클리어한 업적들을 모아볼 수 있습니다.","Quests that have already been rewarded and completed disappear from the list, but you can view your completed achievements at any time by clicking the [Completed Quests] tab on the left side of the quest screen."
RecordNameTeam1RooftopRush,1팀 콜라보,Rooftop Rush,Rooftop Rush
RecordNameTeam2GoalpostToYou,2팀 콜라보,너에게로 가는 골대,Goalpost To You
RecordNameTeam2HighFive,,하이파이브,High Five
RecordNameTeam3Lobby,3팀 콜라보,로비,Lobby
RecordNameTeam5Lobby01,5팀 콜라보,로비 01,Lobby 01
RecordNameTeam5Lobby02,,로비 02,Lobby 02
RecordNameTeam5InGame01,,인 게임 01,In Game 01
RecordNameTeam5InGame02,,인 게임 02,In Game 02
RecordNameTeam5InGame03,,인 게임 03,In Game 03
RecordNameTeam5InGame04,,인 게임 04,In Game 04
RecordNameTeam5InGame05,,인 게임 05,In Game 05
RecordNameTeam5InGame06,,인 게임 06,In Game 06
RecordNameTeam5InGame07,,인 게임 07,In Game 07
RecordNameTeam5InGame08,,인 게임 08,In Game 08
RecordNameTeam5InGame09,,인 게임 09,In Game 09
RecordNameTeam5InGame10,,인 게임 10,In Game 10
RecordNameTeam5InGame11,,인 게임 11,In Game 11
RecordNameTeam5InGame12,,인 게임 12,In Game 12
RecordNameTeam6Stage01,6팀 콜라보,스테이지 01,In Game 13
RecordNameTeam6Stage02,,스테이지 02,In Game 14
RecordNameTeam7InGame,7팀 콜라보,인 게임,In Game
RecordNameTeam7Lobby,,로비,Lobby
RecordNameTeam8DrumBass,8팀 콜라보,Drum Bass,Drum Bass
RecordNameTeam8GotoMiami,,Go to Miami,Go to Miami
RecordNameTeam8Battlefield,,Battlefield,Battlefield
RecordNameTeam8LonelinessoftheWinner,,Loneliness of the Winner,Loneliness of the Winner
RecordNameTeam8PleasantPorridge,,Pleasant Porridge,Pleasant Porridge
RecordNameTeam8JerryFive,,Jerry Five,Jerry Five
RecordNameTeam8DestinyDayHighQuality,,Destiny Day High Quality,Destiny Day High Quality
RecordDescTeam1Collaboration,,도로시아 X 둥둥 아일랜드 콜라보,Dorothia X DoongDoong Island Collaboration
RecordDescTeam2Collaboration,,하이파이브 매니저 X 둥둥 아일랜드 콜라보,High5 MANAGER X DoongDoong Island Collaboration
RecordDescTeam3Collaboration,,리바운드 X 둥둥 아일랜드 콜라보,PROJECT: REBOUND X DoongDoong Island Collaboration
RecordDescTeam5Collaboration,,뽀송세신사 X 둥둥 아일랜드 콜라보,BbosongSesinsa X DoongDoong Island Collaboration
RecordDescTeam6Collaboration,,메모리움 X 둥둥 아일랜드 콜라보,Memorium X DoongDoong Island Collaboration
RecordDescTeam7Collaboration,,슈퍼범퍼즈 X 둥둥 아일랜드 콜라보,SUPER BUMPERS X DoongDoong Island Collaboration
RecordDescTeam8Collaboration,,아스트로 커맨더즈 X 둥둥 아일랜드 콜라보,Astro Commanders X DoongDoong Island Collaboration
ArtistNameCho,,Punk Maniac (Cho),Punk Maniac (Cho)
ArtistNameBeaver,,DoubleClutch (비버),DoubleClutch (Beaver)
ArtistNameJanggun,,DoubleClutch (장군),DoubleClutch (Janggun)
ArtistNameJeJinhyuk,,B3 (제진혁),B3 (JeJinhyuk)
ArtistNameBbosinsa,,뽀신사,Bbosinsa
ArtistNameeKey,,Bravo6 (eKey),Bravo6 (eKey)
ArtistName77GameStudios,,77게임즈,77GAME STUDIOS
ArtistNameBanimack,,bainmack,bainmack
ArtistNameJennifyC,,Jennify C.,Jennify C.
ArtistNameHTbMusic,,HTb-music,HTb-music
ArtistNameAmarantaMusic,,AmarantaMusic,AmarantaMusic
ArtistNameKevinMacLeod,,Kevin MacLeod,Kevin MacLeod
